ts_id,date,total,Sex,state_and_territory,hier_1
1,1986-09-30,3899.0803896188736,Females,Australian Capital Territory,1A
1,1986-12-31,4729.158558011055,Females,Australian Capital Territory,1A
1,1987-03-31,4245.809421539307,Females,Australian Capital Territory,1A
1,1987-06-30,4776.716444134712,Females,Australian Capital Territory,1A
1,1987-09-30,5067.952312648296,Females,Australian Capital Territory,1A
1,1987-12-31,4919.965287685394,Females,Australian Capital Territory,1A
1,1988-03-31,5796.285801649094,Females,Australian Capital Territory,1A
1,1988-06-30,5748.047374844551,Females,Australian Capital Territory,1A
1,1988-09-30,6904.508353233337,Females,Australian Capital Territory,1A
1,1988-12-31,5920.84291100502,Females,Australian Capital Territory,1A
1,1989-03-31,5733.7013463974,Females,Australian Capital Territory,1A
1,1989-06-30,6360.590781271458,Females,Australian Capital Territory,1A
1,1989-09-30,6775.4592307806015,Females,Australian Capital Territory,1A
1,1989-12-31,6499.171051979065,Females,Australian Capital Territory,1A
1,1990-03-31,6325.157122373581,Females,Australian Capital Territory,1A
1,1990-06-30,6416.727496415377,Females,Australian Capital Territory,1A
1,1990-09-30,8179.767456799746,Females,Australian Capital Territory,1A
1,1990-12-31,6840.431561946869,Females,Australian Capital Territory,1A
1,1991-03-31,5367.4439569711685,Females,Australian Capital Territory,1A
1,1991-06-30,6981.9399537444115,Females,Australian Capital Territory,1A
1,1991-09-30,7385.8074407577515,Females,Australian Capital Territory,1A
1,1991-12-31,6515.723969459534,Females,Australian Capital Territory,1A
1,1992-03-31,8108.536145448685,Females,Australian Capital Territory,1A
1,1992-06-30,8005.4362162947655,Females,Australian Capital Territory,1A
1,1992-09-30,8100.910119116306,Females,Australian Capital Territory,1A
1,1992-12-31,7293.666372656822,Females,Australian Capital Territory,1A
1,1993-03-31,6678.076255202293,Females,Australian Capital Territory,1A
1,1993-06-30,6912.264400243759,Females,Australian Capital Territory,1A
1,1993-09-30,6788.975452721119,Females,Australian Capital Territory,1A
1,1993-12-31,6943.638317883015,Females,Australian Capital Territory,1A
1,1994-03-31,7475.772716522217,Females,Australian Capital Territory,1A
1,1994-06-30,7524.822714805603,Females,Australian Capital Territory,1A
1,1994-09-30,8076.5861032009125,Females,Australian Capital Territory,1A
1,1994-12-31,7450.734003841877,Females,Australian Capital Territory,1A
1,1995-03-31,7032.747727274895,Females,Australian Capital Territory,1A
1,1995-06-30,7377.771923065186,Females,Australian Capital Territory,1A
1,1995-09-30,7306.681013137102,Females,Australian Capital Territory,1A
1,1995-12-31,8053.8319655656815,Females,Australian Capital Territory,1A
