ts_id,date,total,store,item
1,2013-01-31,328,S1,I1
1,2013-02-28,322,S1,I1
1,2013-03-31,477,S1,I1
1,2013-04-30,522,S1,I1
1,2013-05-31,531,S1,I1
1,2013-06-30,627,S1,I1
1,2013-07-31,661,S1,I1
1,2013-08-31,594,S1,I1
1,2013-09-30,519,S1,I1
1,2013-10-31,484,S1,I1
1,2013-11-30,572,S1,I1
1,2013-12-31,388,S1,I1
1,2014-01-31,435,S1,I1
1,2014-02-28,405,S1,I1
1,2014-03-31,549,S1,I1
1,2014-04-30,573,S1,I1
1,2014-05-31,651,S1,I1
1,2014-06-30,710,S1,I1
1,2014-07-31,746,S1,I1
1,2014-08-31,671,S1,I1
1,2014-09-30,566,S1,I1
1,2014-10-31,555,S1,I1
1,2014-11-30,619,S1,I1
1,2014-12-31,409,S1,I1
1,2015-01-31,428,S1,I1
1,2015-02-28,399,S1,I1
1,2015-03-31,552,S1,I1
1,2015-04-30,652,S1,I1
1,2015-05-31,711,S1,I1
1,2015-06-30,748,S1,I1
1,2015-07-31,842,S1,I1
1,2015-08-31,706,S1,I1
1,2015-09-30,678,S1,I1
1,2015-10-31,647,S1,I1
1,2015-11-30,684,S1,I1
1,2015-12-31,460,S1,I1
1,2016-01-31,449,S1,I1
1,2016-02-29,450,S1,I1
1,2016-03-31,589,S1,I1
1,2016-04-30,694,S1,I1
1,2016-05-31,782,S1,I1
1,2016-06-30,790,S1,I1
1,2016-07-31,903,S1,I1
1,2016-08-31,727,S1,I1
1,2016-09-30,709,S1,I1
1,2016-10-31,699,S1,I1
1,2016-11-30,662,S1,I1
1,2016-12-31,496,S1,I1
1,2017-01-31,485,S1,I1
1,2017-02-28,487,S1,I1
1,2017-03-31,561,S1,I1
1,2017-04-30,677,S1,I1
1,2017-05-31,773,S1,I1
1,2017-06-30,850,S1,I1
1,2017-07-31,873,S1,I1
1,2017-08-31,794,S1,I1
1,2017-09-30,736,S1,I1
1,2017-10-31,660,S1,I1
1,2017-11-30,668,S1,I1
1,2017-12-31,533,S1,I1
2,2013-01-31,911,S1,I2
2,2013-02-28,873,S1,I2
2,2013-03-31,1299,S1,I2
2,2013-04-30,1316,S1,I2
2,2013-05-31,1527,S1,I2
2,2013-06-30,1643,S1,I2
2,2013-07-31,1743,S1,I2
2,2013-08-31,1591,S1,I2
2,2013-09-30,1353,S1,I2
2,2013-10-31,1330,S1,I2
2,2013-11-30,1427,S1,I2
2,2013-12-31,1023,S1,I2
2,2014-01-31,1116,S1,I2
2,2014-02-28,1135,S1,I2
2,2014-03-31,1406,S1,I2
2,2014-04-30,1645,S1,I2
2,2014-05-31,1870,S1,I2
2,2014-06-30,1849,S1,I2
2,2014-07-31,2039,S1,I2
2,2014-08-31,1823,S1,I2
2,2014-09-30,1539,S1,I2
2,2014-10-31,1506,S1,I2
2,2014-11-30,1595,S1,I2
2,2014-12-31,1211,S1,I2
2,2015-01-31,1114,S1,I2
2,2015-02-28,1157,S1,I2
2,2015-03-31,1536,S1,I2
2,2015-04-30,1700,S1,I2
2,2015-05-31,1941,S1,I2
2,2015-06-30,1828,S1,I2
2,2015-07-31,1967,S1,I2
2,2015-08-31,1915,S1,I2
2,2015-09-30,1625,S1,I2
2,2015-10-31,1622,S1,I2
2,2015-11-30,1680,S1,I2
2,2015-12-31,1227,S1,I2
2,2016-01-31,1248,S1,I2
2,2016-02-29,1270,S1,I2
2,2016-03-31,1628,S1,I2
2,2016-04-30,1791,S1,I2
2,2016-05-31,2003,S1,I2
2,2016-06-30,2062,S1,I2
2,2016-07-31,2387,S1,I2
2,2016-08-31,2016,S1,I2
2,2016-09-30,1807,S1,I2
2,2016-10-31,1806,S1,I2
2,2016-11-30,1789,S1,I2
2,2016-12-31,1338,S1,I2
2,2017-01-31,1202,S1,I2
2,2017-02-28,1196,S1,I2
2,2017-03-31,1592,S1,I2
2,2017-04-30,1951,S1,I2
2,2017-05-31,2101,S1,I2
2,2017-06-30,2214,S1,I2
2,2017-07-31,2370,S1,I2
2,2017-08-31,2089,S1,I2
2,2017-09-30,1923,S1,I2
2,2017-10-31,1748,S1,I2
2,2017-11-30,1962,S1,I2
2,2017-12-31,1475,S1,I2
3,2013-01-31,547,S1,I3
3,2013-02-28,597,S1,I3
3,2013-03-31,789,S1,I3
3,2013-04-30,853,S1,I3
3,2013-05-31,993,S1,I3
3,2013-06-30,996,S1,I3
3,2013-07-31,1105,S1,I3
3,2013-08-31,996,S1,I3
3,2013-09-30,891,S1,I3
3,2013-10-31,776,S1,I3
3,2013-11-30,900,S1,I3
3,2013-12-31,657,S1,I3
3,2014-01-31,654,S1,I3
3,2014-02-28,674,S1,I3
3,2014-03-31,885,S1,I3
3,2014-04-30,973,S1,I3
3,2014-05-31,1168,S1,I3
3,2014-06-30,1129,S1,I3
3,2014-07-31,1204,S1,I3
3,2014-08-31,1116,S1,I3
3,2014-09-30,971,S1,I3
3,2014-10-31,981,S1,I3
3,2014-11-30,1020,S1,I3
3,2014-12-31,729,S1,I3
3,2015-01-31,719,S1,I3
3,2015-02-28,670,S1,I3
3,2015-03-31,908,S1,I3
3,2015-04-30,1058,S1,I3
3,2015-05-31,1236,S1,I3
3,2015-06-30,1215,S1,I3
3,2015-07-31,1325,S1,I3
3,2015-08-31,1178,S1,I3
3,2015-09-30,1112,S1,I3
3,2015-10-31,1041,S1,I3
3,2015-11-30,1059,S1,I3
3,2015-12-31,750,S1,I3
3,2016-01-31,795,S1,I3
3,2016-02-29,791,S1,I3
3,2016-03-31,1001,S1,I3
3,2016-04-30,1113,S1,I3
3,2016-05-31,1297,S1,I3
3,2016-06-30,1276,S1,I3
3,2016-07-31,1443,S1,I3
3,2016-08-31,1197,S1,I3
3,2016-09-30,1163,S1,I3
3,2016-10-31,1076,S1,I3
3,2016-11-30,1134,S1,I3
3,2016-12-31,831,S1,I3
