ts_id,date,total,ShipMode,Segment,Region,Category
1,2015-05-31,162.659,First Class,Consumer,Central,Furniture
1,2015-09-30,493.43,First Class,Consumer,Central,Furniture
1,2015-11-30,724.76,First Class,Consumer,Central,Furniture
1,2015-12-31,3571.12,First Class,Consumer,Central,Furniture
1,2016-02-29,28.4,First Class,Consumer,Central,Furniture
1,2016-06-30,75.384,First Class,Consumer,Central,Furniture
1,2016-08-31,212.94,First Class,Consumer,Central,Furniture
1,2016-09-30,24.288,First Class,Consumer,Central,Furniture
1,2017-03-31,241.332,First Class,Consumer,Central,Furniture
1,2017-05-31,22.608,First Class,Consumer,Central,Furniture
1,2017-08-31,156.3728,First Class,Consumer,Central,Furniture
1,2017-10-31,108.85,First Class,Consumer,Central,Furniture
1,2017-11-30,341.96,First Class,Consumer,Central,Furniture
1,2018-04-30,1.988,First Class,Consumer,Central,Furniture
1,2018-05-31,899.43,First Class,Consumer,Central,Furniture
1,2018-06-30,717.3132,First Class,Consumer,Central,Furniture
1,2018-08-31,183.372,First Class,Consumer,Central,Furniture
1,2018-09-30,520.464,First Class,Consumer,Central,Furniture
1,2018-10-31,527.881,First Class,Consumer,Central,Furniture
1,2018-11-30,317.358,First Class,Consumer,Central,Furniture
1,2018-12-31,1998.49,First Class,Consumer,Central,Furniture
2,2015-05-31,60.772000000000006,First Class,Consumer,Central,Office Supplies
2,2015-06-30,668.998,First Class,Consumer,Central,Office Supplies
2,2015-07-31,10.368,First Class,Consumer,Central,Office Supplies
2,2015-08-31,42.52,First Class,Consumer,Central,Office Supplies
2,2015-09-30,34.752,First Class,Consumer,Central,Office Supplies
2,2015-11-30,391.54,First Class,Consumer,Central,Office Supplies
2,2015-12-31,1161.6779999999999,First Class,Consumer,Central,Office Supplies
2,2016-02-29,21.11,First Class,Consumer,Central,Office Supplies
2,2016-06-30,53.544,First Class,Consumer,Central,Office Supplies
2,2016-08-31,28.4,First Class,Consumer,Central,Office Supplies
2,2016-09-30,15.08,First Class,Consumer,Central,Office Supplies
2,2016-10-31,36.288,First Class,Consumer,Central,Office Supplies
2,2016-11-30,8.784,First Class,Consumer,Central,Office Supplies
2,2016-12-31,263.67999999999995,First Class,Consumer,Central,Office Supplies
2,2017-03-31,150.728,First Class,Consumer,Central,Office Supplies
2,2017-05-31,41.314,First Class,Consumer,Central,Office Supplies
2,2017-06-30,250.352,First Class,Consumer,Central,Office Supplies
2,2017-08-31,113.052,First Class,Consumer,Central,Office Supplies
2,2017-09-30,12.748000000000001,First Class,Consumer,Central,Office Supplies
2,2017-11-30,15.232,First Class,Consumer,Central,Office Supplies
2,2017-12-31,186.048,First Class,Consumer,Central,Office Supplies
2,2018-01-31,66.74,First Class,Consumer,Central,Office Supplies
2,2018-03-31,325.86,First Class,Consumer,Central,Office Supplies
2,2018-04-30,7.056,First Class,Consumer,Central,Office Supplies
2,2018-05-31,171.01600000000002,First Class,Consumer,Central,Office Supplies
2,2018-06-30,21.392,First Class,Consumer,Central,Office Supplies
2,2018-08-31,124.112,First Class,Consumer,Central,Office Supplies
2,2018-09-30,67.936,First Class,Consumer,Central,Office Supplies
2,2018-10-31,1954.076,First Class,Consumer,Central,Office Supplies
2,2018-11-30,1700.592,First Class,Consumer,Central,Office Supplies
2,2018-12-31,376.42,First Class,Consumer,Central,Office Supplies
3,2015-02-28,468.9,First Class,Consumer,Central,Technology
3,2015-07-31,575.968,First Class,Consumer,Central,Technology
3,2015-09-30,11.12,First Class,Consumer,Central,Technology
3,2015-10-31,2735.952,First Class,Consumer,Central,Technology
3,2015-12-31,40.68,First Class,Consumer,Central,Technology
3,2016-02-29,149.97,First Class,Consumer,Central,Technology
3,2016-10-31,150.384,First Class,Consumer,Central,Technology
3,2016-11-30,21.48,First Class,Consumer,Central,Technology
3,2016-12-31,541.12,First Class,Consumer,Central,Technology
3,2017-07-31,115.136,First Class,Consumer,Central,Technology
3,2017-09-30,503.15,First Class,Consumer,Central,Technology
3,2017-10-31,69.9,First Class,Consumer,Central,Technology
3,2017-11-30,289.156,First Class,Consumer,Central,Technology
3,2018-01-31,110.576,First Class,Consumer,Central,Technology
3,2018-05-31,7.992,First Class,Consumer,Central,Technology
3,2018-06-30,470.376,First Class,Consumer,Central,Technology
3,2018-08-31,215.432,First Class,Consumer,Central,Technology
3,2018-09-30,323.976,First Class,Consumer,Central,Technology
3,2018-11-30,73.22399999999999,First Class,Consumer,Central,Technology
3,2018-12-31,384.33,First Class,Consumer,Central,Technology
4,2015-01-31,9.94,First Class,Consumer,East,Furniture
4,2015-07-31,63.882,First Class,Consumer,East,Furniture
4,2015-09-30,1758.96,First Class,Consumer,East,Furniture
4,2015-10-31,2811.192,First Class,Consumer,East,Furniture
4,2015-12-31,969.94,First Class,Consumer,East,Furniture
4,2016-06-30,117.882,First Class,Consumer,East,Furniture
4,2016-07-31,656.6320000000001,First Class,Consumer,East,Furniture
4,2016-08-31,436.00600000000003,First Class,Consumer,East,Furniture
4,2016-12-31,335.568,First Class,Consumer,East,Furniture
4,2017-02-28,560.991,First Class,Consumer,East,Furniture
4,2017-03-31,354.9,First Class,Consumer,East,Furniture
4,2017-05-31,225.20800000000003,First Class,Consumer,East,Furniture
4,2017-06-30,366.45000000000005,First Class,Consumer,East,Furniture
4,2017-07-31,177.45,First Class,Consumer,East,Furniture
4,2017-08-31,786.744,First Class,Consumer,East,Furniture
4,2017-09-30,104.724,First Class,Consumer,East,Furniture
4,2017-10-31,120.98,First Class,Consumer,East,Furniture
4,2017-11-30,408.006,First Class,Consumer,East,Furniture
4,2017-12-31,1227.254,First Class,Consumer,East,Furniture
4,2018-02-28,147.568,First Class,Consumer,East,Furniture
4,2018-03-31,257.568,First Class,Consumer,East,Furniture
4,2018-04-30,969.1320000000001,First Class,Consumer,East,Furniture
4,2018-07-31,189.51,First Class,Consumer,East,Furniture
4,2018-09-30,263.82000000000005,First Class,Consumer,East,Furniture
